pid,label,artist,_date,location,dimensions,medium,order,layout,collection,thumbnail,full,manifest
d1,The Lute,Thomas Dewing,1904,Freer Gallery of Art,36 x 48 1/16 in,Oil on wood panel,00,dewing_item,dewing,"/img/derivatives/iiif/images/d1/full/250,/0/default.jpg","/img/derivatives/iiif/images/d1/full/1140,/0/default.jpg",/img/derivatives/iiif/d1/manifest.json
d2,Summer,Thomas Dewing,1890,Smithsonian American Art Museum,42 1⁄8 x 54 1⁄4 in.,Oil on canvas,01,dewing_item,dewing,"/img/derivatives/iiif/images/d2/full/250,/0/default.jpg","/img/derivatives/iiif/images/d2/full/1140,/0/default.jpg",/img/derivatives/iiif/d2/manifest.json
d3,Spring,Thomas Dewing,1890,Smithsonian American Art Museum,20 1⁄2 x 34 5⁄8 in.,Oil on canvas,02,dewing_item,dewing,"/img/derivatives/iiif/images/d3/full/250,/0/default.jpg","/img/derivatives/iiif/images/d3/full/1140,/0/default.jpg",/img/derivatives/iiif/d3/manifest.json
d4,In the Garden,Thomas Dewing,1892,Smithsonian American Art Museum,20 5⁄8 x 35 in.,Oil on canvas,03,dewing_item,dewing,"/img/derivatives/iiif/images/d4/full/250,/0/default.jpg","/img/derivatives/iiif/images/d4/full/1140,/0/default.jpg",/img/derivatives/iiif/d4/manifest.json
d5,The Spinet,Thomas Dewing,ca. 1902,Smithsonian American Art Museum,15 1⁄2 x 20 in.,Oil on wood,04,dewing_item,dewing,"/img/derivatives/iiif/images/d5/full/250,/0/default.jpg","/img/derivatives/iiif/images/d5/full/1140,/0/default.jpg",/img/derivatives/iiif/d5/manifest.json
d6,Lady in White,Thomas Dewing,ca. 1910,Smithsonian American Art Museum,26 1⁄4 x 20 1⁄4 in.,Oil on canvas,05,dewing_item,dewing,"/img/derivatives/iiif/images/d6/full/250,/0/default.jpg","/img/derivatives/iiif/images/d6/full/1140,/0/default.jpg",/img/derivatives/iiif/d6/manifest.json
d7,The Hermit Thrush,Thomas Dewing,1890,Smithsonian American Art Museum,34 5⁄8 x 46 1⁄8 in.,Oil on canvas,06,dewing_item,dewing,"/img/derivatives/iiif/images/d7/full/250,/0/default.jpg","/img/derivatives/iiif/images/d7/full/1140,/0/default.jpg",/img/derivatives/iiif/d7/manifest.json
d8,Alma,Thomas Dewing,ca. 1895-1900,Smithsonian American Art Museum,20 x 15 5⁄8 in.,Oil on wood,07,dewing_item,dewing,"/img/derivatives/iiif/images/d8/full/250,/0/default.jpg","/img/derivatives/iiif/images/d8/full/1140,/0/default.jpg",/img/derivatives/iiif/d8/manifest.json
d9,Music,Thomas Dewing,ca. 1895,Smithsonian American Art Museum,42 1⁄2 x 36 in.,Oil on canvas,08,dewing_item,dewing,"/img/derivatives/iiif/images/d9/full/250,/0/default.jpg","/img/derivatives/iiif/images/d9/full/1140,/0/default.jpg",/img/derivatives/iiif/d9/manifest.json
d10,The Necklace,Thomas Dewing,ca. 1907,Smithsonian American Art Museum,20 x 15 3⁄4 in.,Oil on wood,09,dewing_item,dewing,"/img/derivatives/iiif/images/d10/full/250,/0/default.jpg","/img/derivatives/iiif/images/d10/full/1140,/0/default.jpg",/img/derivatives/iiif/d10/manifest.json
